Location,Assertlineno,Debuglineno,AssertCount,DebugCount
./tools/openblas_support.py,"45 64 315 317 319","",5,0
./tools/refguide_check.py,"1202","",1,0
./tools/cythonize.py,"58 71 72 82 83 93 94","",7,0
./tools/npy_tempita/__init__.py,"114 270 295 925 944 975 997 1005","",8,0
./numpy/distutils/unixccompiler.py,"","137",0,1
./numpy/distutils/ccompiler.py,"","774",0,1
./numpy/distutils/misc_util.py,"144 192 267 269 1000 1063 1170 1182 1296 1345 1504 1884","",12,0
./numpy/distutils/system_info.py,"737 1010 1023"," 924 3099",3,2
./numpy/distutils/exec_command.py,"113"," 126 168 173 211 232 234 247",1,7
./numpy/distutils/mingw32ccompiler.py,"","300 306 318 399 421",0,5
./numpy/distutils/fcompiler/gnu.py,"255","",1,0
./numpy/distutils/fcompiler/intel.py,"25","",1,0
./numpy/distutils/fcompiler/__init__.py,"245 272 294 423 592"," 683 821 823 931 932",5,5
./numpy/distutils/command/build_ext.py,"","387 390",0,2
./numpy/distutils/command/build_src.py,"","490 546 566 713",0,4
./numpy/distutils/command/__init__.py,"11","",1,0
./numpy/distutils/command/build_clib.py,"","247 250",0,2
./numpy/distutils/_shell_utils.py,"68 71","",2,0
./numpy/distutils/ccompiler_opt.py,"601 602 613 1053 1066 1097 1254 1260 1281 1351 1393 1427 1558 1559 1575 1596 1646 1648 1915 2511","",20,0
./numpy/core/overrides.py,"119","",1,0
./numpy/core/code_generators/generate_umath.py,"86 89","",2,0
./numpy/core/code_generators/ufunc_docstrings.py,"53 55 57","",3,0
./numpy/core/code_generators/numpy_api.py,""," 330",0,1
./numpy/core/numeric.py,"1645 1655 1670","",3,0
./numpy/core/_exceptions.py,"27 44","",2,0
./numpy/core/arrayprint.py,"354","",1,0
./numpy/core/src/multiarray/arrayfunction_override.c,"16 415 416","",3,0
./numpy/core/src/multiarray/common.c,"212","",1,0
./numpy/core/src/multiarray/item_selection.c,"1666 2344","",2,0
./numpy/core/src/multiarray/buffer.c,"150 152 407 480 498","",5,0
./numpy/core/src/multiarray/multiarraymodule.c,"446 491 561 596","",4,0
./numpy/core/src/multiarray/nditer_api.c," 2051 2230 2243","",3,0
./numpy/core/src/multiarray/abstractdtypes.c,"26 65 79 221","",4,0
./numpy/core/src/multiarray/iterators.c,"1762","",1,0
./numpy/core/src/multiarray/refcount.c,"78 140 351","",3,0
./numpy/core/src/multiarray/dragon4.c,"42"," 44 367 368 390 404 434 466 493 519 542 768 816 870 931 1012 1013 1047 1062 1183 1406 1422 1448 1494 1574 1656 1659 1676 1677 1862 1899 1902 1934 1935 2038 2065 2084 2118 3034",1,38
./numpy/core/src/multiarray/array_coercion.c,"229 523 618 725 1073 1185 1188 1193 1304 1372 1451","",11,0
